id,name,image,link
i89,Drug Related Products,,https://www.annualreports.com/Companies?ind=i89
i90,Drugs - Generic,,https://www.annualreports.com/Companies?ind=i90
i91,Health Care Plans,,https://www.annualreports.com/Companies?ind=i91
i92,Home Health Care,,https://www.annualreports.com/Companies?ind=i92
i93,Hospitals,,https://www.annualreports.com/Companies?ind=i93
i94,Long-Term Care Facilities,,https://www.annualreports.com/Companies?ind=i94
i95,Medical Appliances & Equipment,,https://www.annualreports.com/Companies?ind=i95
i96,Medical Instruments & Supplies,,https://www.annualreports.com/Companies?ind=i96
i97,Medical Laboratories & Research,,https://www.annualreports.com/Companies?ind=i97
i98,Medical Practitioners,,https://www.annualreports.com/Companies?ind=i98
i99,Specialized Health Services,,https://www.annualreports.com/Companies?ind=i99
i100,Aerospace/Defense - Major Diversified,,https://www.annualreports.com/Companies?ind=i100
i101,Aerospace/Defense Products & Services,,https://www.annualreports.com/Companies?ind=i101
i102,Cement,,https://www.annualreports.com/Companies?ind=i102
i103,Diversified Machinery,,https://www.annualreports.com/Companies?ind=i103
i104,Farm & Construction Machinery,,https://www.annualreports.com/Companies?ind=i104
i105,General Building Materials,,https://www.annualreports.com/Companies?ind=i105
i106,General Contractors,,https://www.annualreports.com/Companies?ind=i106
i107,Heavy Construction,,https://www.annualreports.com/Companies?ind=i107
i108,Industrial Electrical Equipment,,https://www.annualreports.com/Companies?ind=i108
i109,Industrial Equipment & Components,,https://www.annualreports.com/Companies?ind=i109
i110,"Lumber, Wood Production",,https://www.annualreports.com/Companies?ind=i110
i111,Machine Tools & Accessories,,https://www.annualreports.com/Companies?ind=i111
i112,Manufactured Housing,,https://www.annualreports.com/Companies?ind=i112
i113,Metal Fabrication,,https://www.annualreports.com/Companies?ind=i113
i114,Pollution & Treatment Controls,,https://www.annualreports.com/Companies?ind=i114
i115,Residential Construction,,https://www.annualreports.com/Companies?ind=i115
i116,Small Tools & Accessories,,https://www.annualreports.com/Companies?ind=i116
i117,Textile Industrial,,https://www.annualreports.com/Companies?ind=i117
i118,Waste Management,,https://www.annualreports.com/Companies?ind=i118
i283,Non Profits,,https://www.annualreports.com/Companies?ind=i283
i285,REIT - Mortgage,,https://www.annualreports.com/Companies?ind=i285
i287,REIT - Specialty,,https://www.annualreports.com/Companies?ind=i287
i119,Advertising Agencies,,https://www.annualreports.com/Companies?ind=i119
i120,Air Delivery & Freight Services,,https://www.annualreports.com/Companies?ind=i120
i121,"Air Services, Other",,https://www.annualreports.com/Companies?ind=i121
i122,Apparel Stores,,https://www.annualreports.com/Companies?ind=i122
i123,Auto Dealerships,,https://www.annualreports.com/Companies?ind=i123
i124,Auto Parts Stores,,https://www.annualreports.com/Companies?ind=i124
i125,Auto Parts Wholesale,,https://www.annualreports.com/Companies?ind=i125
i126,Basic Materials Wholesale,,https://www.annualreports.com/Companies?ind=i126
i127,Broadcasting - Radio,,https://www.annualreports.com/Companies?ind=i127
i128,Broadcasting - TV,,https://www.annualreports.com/Companies?ind=i128
i129,Building Materials Wholesale,,https://www.annualreports.com/Companies?ind=i129
i130,Business Services,,https://www.annualreports.com/Companies?ind=i130
i131,CATV Systems,,https://www.annualreports.com/Companies?ind=i131
i132,Catalog & Mail Order Houses,,https://www.annualreports.com/Companies?ind=i132
i133,Computers Wholesale,,https://www.annualreports.com/Companies?ind=i133
i134,Consumer Services,,https://www.annualreports.com/Companies?ind=i134
i135,Department Stores,,https://www.annualreports.com/Companies?ind=i135
i136,"Discount, Variety Stores",,https://www.annualreports.com/Companies?ind=i136
i137,Drug Stores,,https://www.annualreports.com/Companies?ind=i137
i138,Drugs Wholesale,,https://www.annualreports.com/Companies?ind=i138
i139,Education & Training Services,,https://www.annualreports.com/Companies?ind=i139
i140,Electronics Stores,,https://www.annualreports.com/Companies?ind=i140
i141,Electronics Wholesale,,https://www.annualreports.com/Companies?ind=i141
i142,Entertainment - Diversified,,https://www.annualreports.com/Companies?ind=i142
i143,Food Wholesale,,https://www.annualreports.com/Companies?ind=i143
i144,Gaming Activities,,https://www.annualreports.com/Companies?ind=i144
i145,General Entertainment,,https://www.annualreports.com/Companies?ind=i145
i146,Grocery Stores,,https://www.annualreports.com/Companies?ind=i146
i147,Home Furnishing Stores,,https://www.annualreports.com/Companies?ind=i147
i148,Home Improvement Stores,,https://www.annualreports.com/Companies?ind=i148
i293,Hospitality,,https://www.annualreports.com/Companies?ind=i293
i149,Industrial Equipment Wholesale,,https://www.annualreports.com/Companies?ind=i149
i150,Jewelry Stores,,https://www.annualreports.com/Companies?ind=i150
i151,Lodging,,https://www.annualreports.com/Companies?ind=i151
i152,Major Airlines,,https://www.annualreports.com/Companies?ind=i152
i153,Management Services,,https://www.annualreports.com/Companies?ind=i153
i154,Marketing Services,,https://www.annualreports.com/Companies?ind=i154
i155,Medical Equipment Wholesale,,https://www.annualreports.com/Companies?ind=i155
i156,"Movie Production, Theaters",,https://www.annualreports.com/Companies?ind=i156
i157,Music & Video Stores,,https://www.annualreports.com/Companies?ind=i157
i158,Personal Services,,https://www.annualreports.com/Companies?ind=i158
i159,Publishing - Books,,https://www.annualreports.com/Companies?ind=i159
i160,Publishing - Newspapers,,https://www.annualreports.com/Companies?ind=i160
i162,Railroads,,https://www.annualreports.com/Companies?ind=i162
i163,Regional Airlines,,https://www.annualreports.com/Companies?ind=i163
i164,Rental & Leasing Services,,https://www.annualreports.com/Companies?ind=i164
i165,Research Services,,https://www.annualreports.com/Companies?ind=i165
i166,Resorts & Casinos,,https://www.annualreports.com/Companies?ind=i166
i167,Restaurants,,https://www.annualreports.com/Companies?ind=i167
i168,Security & Protection Services,,https://www.annualreports.com/Companies?ind=i168
i169,Shipping,,https://www.annualreports.com/Companies?ind=i169
i170,Specialty Eateries,,https://www.annualreports.com/Companies?ind=i170
i171,"Specialty Retail, Other",,https://www.annualreports.com/Companies?ind=i171
i172,Sporting Activities,,https://www.annualreports.com/Companies?ind=i172
i173,Sporting Goods Stores,,https://www.annualreports.com/Companies?ind=i173
i174,Staffing & Outsourcing Services,,https://www.annualreports.com/Companies?ind=i174
i175,Technical Services,,https://www.annualreports.com/Companies?ind=i175
i176,Toy & Hobby Stores,,https://www.annualreports.com/Companies?ind=i176
i177,Trucking,,https://www.annualreports.com/Companies?ind=i177
i178,"Wholesale, Other",,https://www.annualreports.com/Companies?ind=i178
i179,Application Software,,https://www.annualreports.com/Companies?ind=i179
i180,Business Software & Services,,https://www.annualreports.com/Companies?ind=i180
i181,Communication Equipment,,https://www.annualreports.com/Companies?ind=i181
i182,Computer Based Systems,,https://www.annualreports.com/Companies?ind=i182
i290,Computer Hardware,,https://www.annualreports.com/Companies?ind=i290
i183,Computer Peripherals,,https://www.annualreports.com/Companies?ind=i183
i184,Data Storage Devices,,https://www.annualreports.com/Companies?ind=i184
i185,Diversified Communication Services,,https://www.annualreports.com/Companies?ind=i185
i186,Diversified Computer Systems,,https://www.annualreports.com/Companies?ind=i186
i187,Diversified Electronics,,https://www.annualreports.com/Companies?ind=i187
i188,Healthcare Information Services,,https://www.annualreports.com/Companies?ind=i188
i189,Information & Delivery Services,,https://www.annualreports.com/Companies?ind=i189
i190,Information Technology Services,,https://www.annualreports.com/Companies?ind=i190
i191,Internet Information Providers,,https://www.annualreports.com/Companies?ind=i191
i192,Internet Service Providers,,https://www.annualreports.com/Companies?ind=i192
i193,Internet Software & Services,,https://www.annualreports.com/Companies?ind=i193
i194,Long Distance Carriers,,https://www.annualreports.com/Companies?ind=i194
i195,Multimedia & Graphics Software,,https://www.annualreports.com/Companies?ind=i195
i196,Networking & Communication Devices,,https://www.annualreports.com/Companies?ind=i196
i198,Printed Circuit Boards,,https://www.annualreports.com/Companies?ind=i198
i199,Processing Systems & Products,,https://www.annualreports.com/Companies?ind=i199
i200,Scientific & Technical Instruments,,https://www.annualreports.com/Companies?ind=i200
i201,Security Software & Services,,https://www.annualreports.com/Companies?ind=i201
i202,Semiconductor - Broad Line,,https://www.annualreports.com/Companies?ind=i202
i203,Semiconductor - Integrated Circuits,,https://www.annualreports.com/Companies?ind=i203
i204,Semiconductor - Specialized,,https://www.annualreports.com/Companies?ind=i204
i205,Semiconductor Equipment & Materials,,https://www.annualreports.com/Companies?ind=i205
i206,Semiconductor- Memory Chips,,https://www.annualreports.com/Companies?ind=i206
i292,Solar,,https://www.annualreports.com/Companies?ind=i292
i207,Technical & System Software,,https://www.annualreports.com/Companies?ind=i207
i208,Telecom Services - Domestic,,https://www.annualreports.com/Companies?ind=i208
i209,Telecom Services - Foreign,,https://www.annualreports.com/Companies?ind=i209
i210,Wireless Communications,,https://www.annualreports.com/Companies?ind=i210
i211,Diversified Utilities,,https://www.annualreports.com/Companies?ind=i211
i212,Electric Utilities,,https://www.annualreports.com/Companies?ind=i212
i214,Gas Utilities,,https://www.annualreports.com/Companies?ind=i214
i215,Water Utilities,,https://www.annualreports.com/Companies?ind=i215
